Retriever,Pruner,Recall@k,MRR,Faithfulness,EM,F1,Latency(s)
bm25,no_pruning,0.76,0.808,0.773,0.1,0.186,3.368
cross_encoder,no_pruning,0.85,0.947,0.747,0.14,0.261,2.212
